Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,English_Address
0,500000000,2,12,"[(18.50091019382849, -33.939098937427445)]",The Oval,"on the east side of Saint Stephens Road, 100m from the north corner of the junction of Forest Drive and Saint Stephens Road"
1,500000001,2,12,"[(18.491013930814148, -33.94015764431633)]",Alexandra Road nearby,"on the north side of Alexandra Road, 150m from the north corner of the junction of Alexandra Road and Alexandra Road"
2,500000002,2,12,"[(18.490974671682128, -33.939461157548266)]",Alexandra Road nearby,"on the east side of Alexandra Road, 250m from the north corner of the junction of Alexandra Road and Alexandra Road"
3,500000003,2,12,"[(18.498456973543842, -33.93863933811294)]",Central Square nearby,"on the east side of Central Square, 100m from the southwest corner of the junction of Central Square and Central Square"
4,500000004,2,12,"[(18.46203559170192, -33.95786758157899)]",Rhodes Drive nearby,"on the north side of Rhodes Drive, 450m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
5,500000005,2,12,"[(18.460603889848723, -33.95783011956485)]",Rhodes Drive nearby,"on the west side of Rhodes Drive, 450m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
6,500000006,2,12,"[(18.45979076890249, -33.95803631912707)]",Rhodes Drive nearby,"on the north side of Rhodes Drive, 100m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
7,500000007,2,12,"[(18.459905833178738, -33.95753447111996)]",Rhodes Drive nearby,"on the west side of Rhodes Drive, 450m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
8,500000008,2,12,"[(18.460488862488532, -33.95656290268178)]",Rhodes Drive nearby,"on the west side of Rhodes Drive, 600m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
9,500000009,2,12,"[(18.462118129553936, -33.95490406839999)]",Rhodes Drive nearby,"on the north side of Rhodes Drive, 750m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
10,500000010,2,12,"[(18.46039902504477, -33.95514807519784)]",Rhodes Drive nearby,"on the north side of Rhodes Drive, 750m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
11,500000011,2,12,"[(18.460686198782, -33.95499360254009)]",Rhodes Drive nearby,"on the north side of Rhodes Drive, 750m from the north corner of the junction of Rhodes Drive and Rhodes Drive"
