,road_id,road_name
0,200001637,Westway
1,200002580,Haymarket
2,200003460,Haymarket
3,200000038,Charles II Street
4,200004760,Waterloo Place
5,200006112,Regent Street St James's
6,200000103,Park Lane
7,200005331,Park Lane
8,200000102,Cumberland Gate
9,200000929,Piccadilly
10,200002924,Piccadilly
11,200000104,Park Lane
12,200000105,Park Lane
13,200003666,Park Lane
14,200000462,Achilles Way
15,200004705,Aldersgate Rotunda
16,200004966,Aldersgate Rotunda
17,200000222,London Wall
18,200000226,Queen Street
19,200009060,Queen Victoria Street
20,200009705,Queen Street
21,200000246,Knightsbridge
22,200000256,
23,200005332,Knightsbridge
24,200000931,Grosvenor Place
25,200000247,Grosvenor Place
26,200008308,Grosvenor Place
27,200005354,Park Lane
28,200003667,Park Lane
29,200000248,
30,200000252,Piccadilly
31,200005411,Piccadilly
32,200000257,
33,200002558,Victoria Street
34,200000259,Vauxhall Bridge Road
35,200003372,Victoria Street
36,200003042,Millbank
37,200009402,Millbank
38,200000331,Atterbury Street
39,200000381,Tenison Way
40,200000491,Waterloo Bridge
41,200002267,
42,200008564,Buckingham Palace Road
43,200000529,Buckingham Palace Road
44,200000471,Grosvenor Gardens
45,200000784,St Giles High Street
46,200002700,St Giles High Street
47,200000480,Earnshaw Street
48,200004575,Waterloo Bridge
49,200004380,Strand Underpass
50,200002759,
51,200002593,Curzon Street
52,200000492,Bolton Street
53,200003431,Berkeley Street
54,200002786,Berkeley Street
55,200000494,Berkeley Square
56,200000496,Upper Grosvenor Street
57,200000497,Upper Grosvenor Street
58,200004547,Park Street
59,200003562,Grosvenor Square
60,200003563,Grosvenor Square
61,200000499,Grosvenor Square
62,200008390,Charterhouse Street
63,200013766,Charterhouse Street
64,200000524,Charing Cross
65,200005152,Charing Cross
66,200002154,The Mall
67,200004681,Lower Grosvenor Place
68,200005414,Lower Grosvenor Place
69,200000527,Beeston Place
70,200000541,Great Tower Street
71,200006003,Great Tower Street
72,200007321,Great Tower Street
73,200000765,Belgrave Square
74,200000768,Grosvenor Crescent
75,200001463,Belgrave Square
76,200003239,Charing Cross
77,200000777,Cockspur Street
78,200002989,Charing Cross
79,200004503,Sussex Gardens
80,200000790,
81,200004844,Sussex Gardens
82,200004565,New Oxford Street
83,200000795,New Oxford Street
84,200011813,New Oxford Street
85,200002923,Piccadilly
86,200000928,Duke of Wellington Place
87,200004553,Piccadilly
88,200006941,St. Botolph Street
89,200000998,Camomile Street
90,200003790,Camomile Street
91,200005463,Lancaster Terrace
92,200001028,
93,200003071,Lancaster Terrace
94,200001031,Inverness Place
95,200004687,
96,200002266,
97,200001217,York Road
98,200001264,Tooley Street
99,200004344,Tooley Street
100,200010221,Tooley Street
101,200001464,Belgrave Square
102,200005644,Belgrave Square
103,200001465,Belgrave Square
104,200003526,Bricklayers Arms Roundabout
105,200002812,Bricklayers Arms Roundabout
106,200001476,Old Kent Road
107,200001892,Bayswater Road
108,200003001,Bayswater Road
109,200001507,Edgware Road
110,200005355,Park Lane
111,200005356,Park Lane
112,200001691,Curzon Gate
113,200004526,St Georges Road
114,200001794,St Georges Road
115,200002391,St Georges Road
116,200005208,Park Lane
117,200005263,Park Lane
118,200001893,Brook Gate
119,200010577,Great Queen Street
120,200008205,Long Acre
121,200001940,Great Queen Street
122,200007906,Westminster Bridge Road
123,200007905,Westminster Bridge Road
124,200007908,Waterloo Road
125,200002990,Charing Cross
