,road_id,road_name
0,200000002,Старая площадь
1,200007415,Китайгородский проезд
2,200005451,площадь Варварские Ворота
3,200004507,
4,200005745,улица Усиевича
5,200006817,улица Усиевича
6,200000052,улица Лизы Чайкиной
7,200000058,площадь Космонавта Комарова
8,200004818,площадь Космонавта Комарова
9,200000055,Левая Дворцовая аллея
10,200000096,Чистопрудный бульвар
11,200000645,Чистопрудный бульвар
12,200000644,
13,200000106,Садовая-Каретная улица
14,200003645,Садовая-Каретная улица
15,200005784,Садовая-Каретная улица
16,200000127,Олимпийский проспект
17,200007733,Олимпийский проспект
18,200005796,
19,200005379,проспект Мира
20,200005292,проспект Мира
21,200000128,улица Дурова
22,200005523,площадь Гагарина
23,200004556,площадь Гагарина
24,200000148,улица Косыгина
25,200007328,улица Косыгина
26,200001477,
27,200003646,Садовая-Каретная улица
28,200003539,Сухаревская эстакада
29,200000152,Садовая-Самотёчная улица
30,200003448,Садовая-Самотёчная улица
31,200001471,
32,200006154,
33,200006155,
34,200000153,улица Щепкина
35,200001938,улица Большая Полянка
36,200000727,Якиманский проезд
37,200000159,улица Большая Полянка
38,200000166,Делегатская улица
39,200004833,Делегатская улица
40,200007981,Делегатская улица
41,200002165,Суворовская площадь
42,200000172,
43,200003335,Суворовская площадь
44,200000177,Рождественский бульвар
45,200007738,Рождественский бульвар
46,200005598,Трубная площадь
47,200005949,
48,200000219,
49,200000180,улица Верземнека
50,200004282,Суворовская площадь
51,200000186,Суворовская площадь
52,200003334,Суворовская площадь
53,200000188,Садовая-Сухаревская улица
54,200000189,Садовая-Сухаревская улица
55,200006646,Трубная улица
56,200004827,Трубная площадь
57,200000190,Рождественский бульвар
58,200005619,Трубная площадь
59,200001702,Третье транспортное кольцо
60,200000196,Третье транспортное кольцо
61,200006851,
62,200000197,Третье транспортное кольцо
63,200003946,
64,200003945,Третье транспортное кольцо
65,200000199,Третье транспортное кольцо
66,200003944,Третье транспортное кольцо
67,200000606,
68,200005531,Садовая-Спасская улица
69,200000212,Садовая-Спасская улица
70,200002796,Садовая-Спасская улица
71,200004823,улица Сущёвский Вал
72,200004153,улица Сущёвский Вал
73,200000215,улица Сущёвский Вал (дублёр)
74,200005573,улица Сущёвский Вал (дублёр)
75,200002570,улица Сущёвский Вал (дублёр)
76,200000217,
77,200005567,
78,200006979,
79,200005602,улица Сущёвский Вал (дублёр)
80,200004793,улица Сущёвский Вал (дублёр)
81,200000218,
82,200004148,Рижская площадь
83,200005086,Рижская площадь
84,200000222,
85,200007781,Большая Сухаревская площадь
86,200000223,Большая Сухаревская площадь
87,200003541,
88,200003575,Садовая-Сухаревская улица
89,200005080,Садовая-Сухаревская улица
90,200000225,
91,200006104,
92,200000226,Неглинная улица
93,200000228,Рахмановский переулок
94,200004151,улица Сущёвский Вал
95,200003778,Третье транспортное кольцо
96,200000231,
97,200000233,2-й Крестовский переулок
98,200000234,2-й Крестовский переулок
99,200000232,
100,200003115,Третье транспортное кольцо
101,200003780,Третье транспортное кольцо
102,200000237,
103,200003401,
104,200000244,Кутузовский проспект
105,200006307,
106,200007593,2-я улица Марьиной Рощи
107,200000246,5-й проезд Марьиной Рощи
108,200009750,2-я улица Марьиной Рощи
109,200000559,Гаврикова улица
110,200005280,Гаврикова улица
111,200000264,
112,200000281,
113,200000717,Боровицкая площадь
114,200000770,
115,200003914,улица Серафимовича
116,200000282,улица Серафимовича
117,200002019,
118,200000331,
119,200002839,
120,200000285,
121,200007765,Кутузовский проспект
122,200001895,улица Сущёвский Вал
123,200003781,улица Нижняя Масловка
124,200000292,
125,200000295,
126,200000293,
127,200006120,
128,200001516,Бутырская улица
129,200005141,Бутырская улица
130,200000294,
131,200004042,улица Нижняя Масловка
132,200004043,улица Нижняя Масловка
133,200004764,
134,200004822,
135,200000296,
136,200003551,улица Бутырский Вал
137,200005053,
138,200000297,
139,200005948,
140,200000298,
141,200002010,
142,200000301,
143,200005200,
144,200006305,Симоновская набережная
145,200002005,Симоновская набережная
146,200000302,
147,200000318,
148,200004329,
149,200000764,
150,200004758,улица Сущёвский Вал
151,200007820,Ленинградский проспект
152,200003869,Ленинградский проспект
153,200000332,Ленинградский проспект
154,200004301,Малая Тульская улица
155,200000334,Малая Тульская улица
156,200001588,
157,200005218,Варшавское шоссе
158,200000350,
159,200003155,Большая Тульская улица
160,200005822,Малая Тульская улица
161,200004044,Загородное шоссе
162,200000351,Загородное шоссе
163,200006453,Третье транспортное кольцо
164,200003911,Третье транспортное кольцо
165,200000357,
166,200007382,Малая Тульская улица
167,200000358,Малая Тульская улица
168,200009708,Малая Тульская улица
169,200004303,Третье транспортное кольцо
170,200004848,Третье транспортное кольцо
171,200000360,
172,200002676,Большая Тульская улица
173,200000369,
174,200000383,Новоалексеевская улица
175,200000385,Новоалексеевская улица
176,200001288,Новоалексеевская улица
177,200002743,
178,200000689,
179,200000386,Графский переулок
180,200004018,Графский переулок
181,200008027,Графский переулок
182,200006600,Третье транспортное кольцо
183,200000419,Третье транспортное кольцо
184,200000760,
185,200006125,
186,200000745,
187,200000423,
188,200005432,Красноказарменная улица
189,200002068,Красноказарменная улица
190,200000427,Авиамоторный проезд
191,200000539,
192,200002070,шоссе Энтузиастов (дублёр)
193,200002656,шоссе Энтузиастов
194,200003998,шоссе Энтузиастов
195,200000428,Авиамоторная улица
196,200007248,Ленинградский проспект
197,200003120,Ленинградский проспект
198,200000437,улица Алабяна
199,200001312,Краснохолмская набережная
200,200006516,Краснохолмская набережная
201,200000461,Новоспасский переулок
202,200001780,Пречистенская набережная
203,200006204,Пречистенская набережная
204,200000465,улица Ленивка
205,200003183,Ломоносовский проспект
206,200001864,Ломоносовский проспект
207,200000466,
208,200003332,Страстной бульвар
209,200002568,Большой Путинковский переулок
210,200000467,Нарышкинский проезд
