Unnamed: 0,aoi_id,type,land_use,coords,aoi_name,English_Address
0,500000001,2,12,"[(72.86594554231363, 19.090735751031296)]",Chhatrapati Shivaji Maharaj International Airport,"on the east side of Air Port Road, 350m from the east corner of the junction of unknown road and Air Port Road"
1,500000002,2,12,"[(72.9004424854105, 19.053146272208267)]",N G Acharya Udyan,"on the east side of Dayanand Saraswati Marg (Central Avenue Road), 50m from the northeast corner of the junction of Sion Panvel Highway and Dayanand Saraswati Marg (Central Avenue Road)"
2,500000029,2,12,"[(72.840137, 19.0932135)]",LIC Jeevan Seva,"on the east side of Swami Vivekanand Road, 200m from the northeast corner of the junction of unknown road and Swami Vivekanand Road"
3,500000031,2,12,"[(72.84445569773594, 19.05980529410441)]",Shivaji Garden,"on the south side of Ram Mandir Road, 150m from the southwest corner of the junction of S D Mandir Marg and Ram Mandir Road"
4,500000068,2,12,"[(72.83761520790405, 19.089963427416176)]",Dheeraj Heritage,"on the east side of Linking Road, 100m from the northwest corner of the junction of Swami Vivekanand Road and Linking Road"
5,500000083,2,12,"[(72.88947062274342, 19.074802525289606)]",Kurla EMU Carshed,"on the north side of Santa Cruz – Chembur Link Road, 100m from the northeast corner of the junction of Santa Cruz – Chembur Link Road and Santa Cruz – Chembur Link Road"
6,500000087,2,12,"[(72.86760907995412, 19.08127141714669)]",Air India Colony,"on the south side of Air India Road, 250m from the west corner of the junction of Jawaharlal Nehru Road and Air India Road"
7,500000095,2,12,"[(72.86765052277538, 19.046239272724467)]",P. Jawaharlal Nehru Park,"on the south side of Sion Panvel Highway, 150m from the southwest corner of the junction of Sion Panvel Highway and Sion Panvel Highway"
8,500000096,2,12,"[(72.85730249488446, 19.070849474147458)]",Mumbai University,"on the south side of Santa Cruz – Chembur Link Road, 50m from the southwest corner of the junction of unknown road and Santa Cruz – Chembur Link Road"
9,500000097,2,12,"[(72.86204887552957, 19.05263278817887)]",Maharashtra Nature Park,"on the east side of Dharavi Depot Road, 800m from the northwest corner of the junction of LBS Marg and Dharavi Depot Road"
10,500000098,2,12,"[(72.85864275054284, 19.050314981717836)]",Dharavi BEST Bus Depot,"on the south side of Dharavi Depot Road, 750m from the west corner of the junction of LBS Marg and Dharavi Depot Road"
11,500000102,2,12,"[(72.83350973725139, 19.097155132449913)]",Juhu Aerodrome,"on the east side of Juhu Tara Road, 300m from the east corner of the junction of unknown road and Juhu Tara Road"
12,500000143,2,12,"[(72.8551252826089, 19.094245009682094)]",Control Tower,"on the east side of Air Port Road, within 50m from the southeast corner of the junction of unknown road and Air Port Road"
13,500000217,2,12,"[(72.89272284057971, 19.071710557207656)]",Kurla Terminus,"on the north side of unknown road, within 50m from the north corner of the junction of unknown road and unknown road"
14,500000218,2,12,"[(72.89786684650305, 19.069256741518846)]",Tilak Nagar Municipal Ground/ Sahyadri Garden,"on the west side of Ghatkopar Mahul Road, 100m from the northwest corner of the junction of unknown road and Ghatkopar Mahul Road"
15,500000219,2,12,"[(72.89086476715063, 19.073268445264734)]",Kurla Railway Yard,"on the east side of Santa Cruz – Chembur Link Road, 50m from the northeast corner of the junction of Santa Cruz – Chembur Link Road and Santa Cruz – Chembur Link Road"
16,500000222,2,12,"[(72.84104594200694, 19.062686430375244)]",Bandra Terminus,"on the south side of Anant Kanekar Marg, 50m from the south corner of the junction of Anant Kanekar Marg and Anant Kanekar Marg"
17,500000223,2,12,"[(72.84068763377982, 19.05486822728707)]",Bandra Station,"on the north side of Western Express Highway, 200m from the northwest corner of the junction of BKC - Sealink Road and Western Express Highway"
18,500001210,2,12,"[(72.8932366128337, 19.06729105809225)]",Matoshree Building,"on the east side of unknown road, within 50m from the southeast corner of the junction of unknown road and unknown road"
19,500001212,2,12,"[(72.91344410448303, 19.064989395184966)]",Prem Sagar,"on the west side of Eastern Freeway, 250m from the northwest corner of the junction of unknown road and Eastern Freeway"
20,500001213,2,12,"[(72.9182103388926, 19.046479702100992)]",BSNL Telecom Factory Deonar,"on the north side of Deonar Village Road, 1300m from the southeast corner of the junction of B S Devashi Marg and Deonar Village Road"
21,500001215,2,12,"[(72.91232259229687, 19.06449331013857)]",Mahavir Hights,"on the north side of Ghatkopar - Mankhurd Link Road, 850m from the southeast corner of the junction of unknown road and Ghatkopar - Mankhurd Link Road"
22,500001216,2,12,"[(72.89447389110958, 19.066836988277643)]",Tilak Nagar Municipal School ground (lal maidan),"on the north side of Santa Cruz – Chembur Link Road, 50m from the northeast corner of the junction of Santa Cruz – Chembur Link Road and Santa Cruz – Chembur Link Road"
23,500001234,2,12,"[(72.89784628844745, 19.07953296591042)]",Jugaldas Modi Marg nearby,"on the south side of Jugaldas Modi Marg, 350m from the southeast corner of the junction of Station Road and Jugaldas Modi Marg"
24,500001235,2,12,"[(72.89470454029858, 19.083987900329017)]",Material Organization Mumbai,"on the north side of unknown road, 650m from the northeast corner of the junction of Naupada Road and unknown road"
25,500001236,2,12,"[(72.88331412506952, 19.09006277472443)]",Pipeline Road nearby,"on the west side of Pipeline Road, 450m from the southwest corner of the junction of 90 Feet Road and Pipeline Road"
26,500001237,2,12,"[(72.88440840347587, 19.092463929178283)]",Pipeline Road nearby,"on the south side of 90 Feet Road, within 50m from the south corner of the junction of unknown road and 90 Feet Road"
27,500001239,2,12,"[(72.88139484520988, 19.09340676691356)]",Mathuradas Vasanji Road (Andheri Kurla Road) nearby,"on the south side of Mathuradas Vasanji Road (Andheri Kurla Road), 200m from the west corner of the junction of Mathuradas Vasanji Road (Andheri Kurla Road) and Mathuradas Vasanji Road (Andheri Kurla Road)"
28,500001240,2,12,"[(72.8977701733395, 19.091862136863508)]",P R Kadam Marg nearby,"on the west side of Sant Narsee Mehta Marg, within 50m from the west corner of the junction of unknown road and Sant Narsee Mehta Marg"
29,500001241,2,12,"[(72.88980144352873, 19.092786071785824)]",P R Kadam Marg nearby,"on the east side of 90 Feet Road, 200m from the east corner of the junction of Pipeline Road and 90 Feet Road"
30,500001250,2,12,"[(72.91754002085658, 19.06528863352292)]",Ghatkopar - Mankhurd Link Road nearby,"on the north side of unknown road, 100m from the north corner of the junction of P.L. Lokhande Marg and unknown road"
31,500001251,2,12,"[(72.91642540406798, 19.06475888776092)]",Eastern Freeway nearby,"on the east side of Eastern Freeway, 300m from the northeast corner of the junction of unknown road and Eastern Freeway"
32,500001254,2,12,"[(72.91905981554672, 19.060445713237396)]",Ghatkopar - Mankhurd Link Road nearby,"on the south side of Ghatkopar - Mankhurd Link Road, 2300m from the northwest corner of the junction of unknown road and Ghatkopar - Mankhurd Link Road"
33,500001255,2,12,"[(72.88374269684395, 19.057676414857177)]",Nehru Nagar MSRTC Bus Depot,"on the east side of unknown road, 200m from the north corner of the junction of Vasantarao Naik Marg and unknown road"
34,500001256,2,12,"[(72.88700220531524, 19.068172632892814)]",Santa Cruz – Chembur Link Road nearby,"on the south side of Santa Cruz – Chembur Link Road, 750m from the northwest corner of the junction of Santa Cruz – Chembur Link Road and Santa Cruz – Chembur Link Road"
35,500001257,2,12,"[(72.91347063265948, 19.055515234472836)]",Samrat Ashok Nagar,"on the east side of Eastern Freeway, 1700m from the north corner of the junction of Eastern Freeway and Eastern Freeway"
36,500001258,2,12,"[(72.89404319873805, 19.062746751922315)]",Shell Colony Road nearby,"on the west side of Eastern Express Highway, 850m from the northeast corner of the junction of unknown road and Eastern Express Highway"
37,500001259,2,12,"[(72.90660777242941, 19.053325170226785)]",Road No. 5 nearby,"on the north side of Road No. 5, 650m from the east corner of the junction of Dayanand Saraswati Marg (Central Avenue Road) and Road No. 5"
38,500001260,2,12,"[(72.88377418593024, 19.051890816168005)]",Sion Panvel Highway nearby,"on the south side of Sion Panvel Highway, 700m from the southwest corner of the junction of Hemu Kalani Marg and Sion Panvel Highway"
39,500001261,2,12,"[(72.89760246383986, 19.0653026644106)]",Prakash Thorat Marg nearby,"on the west side of unknown road, 100m from the north corner of the junction of Eastern Express Highway and unknown road"
40,500001262,2,12,"[(72.87969512352603, 19.06530781846647)]",S G Barve Marg nearby,"on the east side of A H Wadia Marg, 550m from the northeast corner of the junction of Lal Bahadur Shastri Marg and A H Wadia Marg"
41,500001263,2,12,"[(72.8865084358896, 19.050363470743605)]",Sion Panvel Highway nearby,"on the south side of Sion Panvel Highway, 300m from the southwest corner of the junction of Hemu Kalani Marg and Sion Panvel Highway"
42,500001264,2,12,"[(72.88829170662187, 19.059804865046992)]",Thakkar Bappa Colony,"on the west side of unknown road, 800m from the southwest corner of the junction of Shell Colony Road and unknown road"
43,500001265,2,12,"[(72.87466555046328, 19.07328428519449)]",Lal Bahadur Shastri Marg nearby,"on the south side of unknown road, 850m from the northeast corner of the junction of Bandra Kurla Complex Road and unknown road"
44,500001266,2,12,"[(72.8922732799963, 19.047389839861278)]",Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road) nearby,"on the west side of unknown road, 450m from the southwest corner of the junction of Ramakrishna Chemburkar Marg and unknown road"
45,500001267,2,12,"[(72.87849626376793, 19.073407467351096)]",A H Wadia Marg nearby,"on the south side of Santa Cruz – Chembur Link Road, 150m from the southwest corner of the junction of Santa Cruz – Chembur Link Road and Santa Cruz – Chembur Link Road"
46,500001268,2,12,"[(72.90869414775608, 19.055418833740433)]",N G Acharya Marg nearby,"on the west side of Eastern Freeway, 1500m from the north corner of the junction of Eastern Freeway and Eastern Freeway"
47,500001269,2,12,"[(72.88024778418207, 19.064221538040684)]",S.G. Barve Marg nearby,"on the south side of unknown road, 100m from the west corner of the junction of S.G. Barve Marg and unknown road"
48,500001270,2,12,"[(72.88081556600554, 19.075054880775845)]",Santa Cruz – Chembur Link Road nearby,"on the south side of unknown road, 600m from the southwest corner of the junction of Premier Road and unknown road"
49,500001278,2,12,"[(72.8802691805674, 19.086876434306284)]",Magan Nathuram Road nearby,"on the north side of Mathuradas Vasanji Road (Andheri Kurla Road), 900m from the south corner of the junction of 90 Feet Road and Mathuradas Vasanji Road (Andheri Kurla Road)"
50,500001283,2,12,"[(72.87057066560527, 19.07696606712811)]",Kalina Kurla Road nearby,"on the west side of Kalina Kurla Road, 350m from the west corner of the junction of Lal Bahadur Shastri Marg and Kalina Kurla Road"
51,500001286,2,12,"[(72.84552673546759, 19.067963083100565)]",Service Road nearby,"on the west side of Western Express Highway, 450m from the north corner of the junction of unknown road and Western Express Highway"
52,500001289,2,12,"[(72.84223444660188, 19.073824647983486)]",Anant Kanekar Marg nearby,"on the south side of Anant Kanekar Marg, 1300m from the north corner of the junction of Anant Kanekar Marg and Anant Kanekar Marg"
53,500001291,2,12,"[(72.84829296124929, 19.06854770150656)]",Service Road nearby,"on the north side of Sharada Devi Road, 50m from the northwest corner of the junction of JL Shirshekar Marg and Sharada Devi Road"
54,500001293,2,12,"[(72.85582480856424, 19.064691524835897)]",Sharada Devi Road nearby,"on the north side of unknown road, 200m from the southeast corner of the junction of unknown road and unknown road"
55,500001296,2,12,"[(72.85251953329839, 19.066025667782917)]",Sharada Devi Road nearby,"on the west side of Sharada Devi Road, 150m from the northeast corner of the junction of Sharada Devi Road and Sharada Devi Road"
56,500001299,2,12,"[(72.8433859709393, 19.087168404335703)]",Service Road nearby,"on the south side of Western Express Highway, 850m from the southwest corner of the junction of unknown road and Western Express Highway"
57,500001300,2,12,"[(72.83993206213374, 19.087300956109175)]",Swami Vivekanand Road nearby,"on the east side of Swami Vivekanand Road, 150m from the southeast corner of the junction of Linking Road and Swami Vivekanand Road"
58,500001303,2,12,"[(72.83978149014777, 19.089538085215818)]",P V Avsare Marg nearby,"on the north side of Swami Vivekanand Road, within 50m from the east corner of the junction of Linking Road and Swami Vivekanand Road"
59,500001318,2,12,"[(72.8401916869023, 19.06408304831934)]",Bandra Loco Shed,"on the south side of Anant Kanekar Marg, 1250m from the south corner of the junction of Church Avenue and Anant Kanekar Marg"
60,500001319,2,12,"[(72.84184199023328, 19.082908621948985)]",Tilak Road nearby,"on the north side of Tilak Road, 350m from the east corner of the junction of Swami Vivekanand Road and Tilak Road"
61,500001320,2,12,"[(72.83916198831794, 19.05363640302287)]",Bandra BEST Bus Depot,"on the south side of Bandra Station Road, 100m from the southeast corner of the junction of Swami Vivekanand Road and Bandra Station Road"
62,500001321,2,12,"[(72.888568512244, 19.07262782033585)]",Santa Cruz – Chembur Link Road nearby,"on the east side of Santa Cruz – Chembur Link Road, 50m from the northeast corner of the junction of Santa Cruz – Chembur Link Road and Santa Cruz – Chembur Link Road"
63,500001322,2,12,"[(72.8502890732772, 19.053585749700243)]",Maker Maxity,"on the east side of Sion Bandra Link Road, 650m from the north corner of the junction of 60 Feet Road and Sion Bandra Link Road"
