,road_id,road_name
0,200001922,Haile Selassie Roundabout
1,200000018,Haile Selassie Avenue
2,200001923,Haile Selassie Roundabout
3,200001924,Haile Selassie Roundabout
4,200001925,Haile Selassie Roundabout
5,200000020,Uhuru Highway
6,200000026,Kenyatta Avenue Round About
7,200000027,Kenyatta Avenue Round About
8,200000022,Uhuru Highway
9,200000023,Uhuru Highway
10,200000024,Uhuru Highway
11,200000507,Harambee Avenue
12,200000028,Kenyatta Avenue Round About
13,200001999,Kenyatta Avenue Round About
14,200002021,Kenyatta Avenue
15,200000512,Ragati Road
16,200000029,Ragati Road
17,200000030,Ragati Road
18,200000031,Haile Selassie Avenue
19,200002019,Ngong Road
20,200002144,Ngong Road
21,200002075,Ngong Road
22,200000034,
23,200001976,Kenyatta Avenue Round About
24,200002000,Kenyatta Avenue Round About
25,200000052,Kenyatta Avenue
26,200002062,University Way Round About
27,200002063,University Way Round About
28,200000057,Uhuru Highway
29,200001974,Kenyatta Avenue Round About
30,200001975,Kenyatta Avenue Round About
31,200000058,Uhuru Highway
32,200002146,University Way Round About
33,200002148,University Way Round About
34,200000059,University Way
35,200000091,Uhuru Highway
36,200001806,City Hall Way
37,200000100,City Hall Way
38,200000555,City Hall Way
39,200000132,Limuru Road
40,200001567,Limuru Road
41,200001562,
42,200001192,Murang'a Road
43,200000133,Murang'a Road
44,200000778,Kipande Road
45,200000150,Dr. G.W. Griffin Road
46,200000151,Dr. G.W. Griffin Road
47,200001224,Quarry Road
48,200000153,Dr. G.W. Griffin Road
49,200000524,Dr. G.W. Griffin Road
50,200000486,General Waruinge Street
51,200000329,Landhies Road
52,200000156,
53,200000330,Landhies Road
54,200001807,Racecourse Road
55,200001703,Racecourse Road
56,200000226,
57,200000228,Murang'a Road
58,200001557,Murang'a Road
59,200001566,Limuru Road
60,200000830,Ronald Ngala Street
61,200002167,Ronald Ngala Street
62,200000229,Ronald Ngala Street
63,200000258,Lusaka Road
64,200000286,Haile Selassie Avenue
65,200001772,Haile Selassie Avenue
66,200001220,Tom Mboya Street
67,200000304,Uhuru Highway
68,200001476,
69,200000320,Parliament Road
70,200000321,Parliament Road
71,200001232,
72,200000370,Kimathi Street
73,200001229,Tubman Road
74,200000838,Kimathi Street
75,200000498,University Way
76,200000499,University Way
77,200000371,Muindi Mbingu Street
78,200000398,Uhuru Highway
79,200002072,Waiyaki Way
80,200000388,
81,200000547,Prof. Wangari Maathai Road
82,200000396,Ngong Road
83,200001230,
84,200002066,University Way Round About
85,200002147,University Way Round About
86,200000397,Uhuru Highway
87,200002064,University Way Round About
88,200002065,University Way Round About
89,200000399,University Way
90,200000493,Prof. Wangari Maathai Road
91,200002090,Prof. Wangari Maathai Road
92,200000423,Prof. Wangari Maathai Road
93,200000430,Murang'a Road
94,200001731,Murang'a Road
95,200001729,Ngara Road
96,200001072,Dr. G.W. Griffin Road
97,200000433,Racecourse Road
98,200000485,
99,200001712,Murang'a Road
100,200001586,Murang'a Road
101,200000494,Murang'a Road
102,200000495,Slip Road
103,200000496,Slip Road
104,200002080,Slip Road
105,200001725,Slip Road
106,200000497,Moi Avenue
107,200000225,Murang'a Road
108,200002132,Prof. Wangari Maathai Road
109,200000521,
110,200002192,
111,200001699,Dr. G.W. Griffin Road
112,200002013,Kenyatta Avenue
113,200002014,Kenyatta Avenue
