,一级名称,二级分类,三级名称,分类编码,分类名称
29,,家常菜,家常菜,101300,美食:家常菜
31,,烧烤,烧烤,101500,美食:烧烤
32,,火锅,火锅,101600,美食:火锅
33,,海鲜,海鲜,101700,美食:海鲜
35,,综合商场,综合商场,131000,购物:综合商场
87,,便利店,便利店,131100,购物:便利店
88,,超市,超市,131200,购物:超市
89,,数码家电,数码家电,131300,购物:数码家电
91,,家具家居建材,家具家居建材,131500,购物:家具家居建材
98,,农贸市场,农贸市场,131600,购物:农贸市场
101,,体育户外,体育户外,131900,购物:体育户外
102,,服饰鞋包,服饰鞋包,132000,购物:服饰鞋包
107,,眼镜店,眼镜店,132200,购物:眼镜店
108,,母婴儿童,母婴儿童,132300,购物:母婴儿童
109,,珠宝饰品,珠宝饰品,132400,购物:珠宝饰品
112,,化妆品,化妆品,132500,购物:化妆品
119,,自行车专卖,自行车专卖,133200,购物:自行车专卖
120,,烟酒专卖,烟酒专卖,133300,购物:烟酒专卖
166,,洗衣店,洗衣店,141800,生活服务:洗衣店
186,,,宠物商店,142810,生活服务:宠物服务:宠物商店
196,,,美发,143410,生活服务:美容美发:美发
214,,酒吧,酒吧,161200,娱乐休闲:酒吧
215,,咖啡厅,咖啡厅,161300,娱乐休闲:咖啡厅
217,,茶馆,茶馆,161500,娱乐休闲:茶馆
225,,,游乐场,161910,娱乐休闲:户外活动:游乐场
245,,健身中心,健身中心,181000,运动健身:健身中心
248,,瑜伽,瑜伽,181300,运动健身:瑜伽
264,,舞蹈,舞蹈,182900,运动健身:舞蹈
276,,停车场,停车场,191100,汽车:停车场
283,,汽车维修,汽车维修,191300,汽车:汽车维修
315,,诊所,诊所,201200,医疗保健:诊所
317,,药房药店,药房药店,201400,医疗保健:药房药店
367,,图书馆,图书馆,231300,文化场馆:图书馆
380,,大学,大学,241000,教育学校:大学
479,,,住宅小区,281010,房产小区:住宅区:住宅小区
