,road_id,road_name
0,200018692,Praça da Sé
1,200009825,Praça da Sé
2,200000287,Rua Senador Feijó
3,200018693,Largo São Francisco
4,200009832,Largo São Francisco
5,200000289,Largo São Francisco
6,200018021,Avenida do Estado
7,200021348,Avenida do Estado
8,200000346,Avenida do Estado
9,200000347,Avenida do Estado
10,200003745,
11,200008803,Viaduto Diário Popular
12,200000448,
13,200000348,
14,200013205,Avenida do Estado
15,200018022,Avenida do Estado
16,200000349,Parque Dom Pedro II
17,200000350,Parque Dom Pedro II
18,200002307,
19,200014365,Avenida Radial Leste-Oeste
20,200014361,Avenida Radial Leste-Oeste
21,200000415,Rua João Passalaqua
22,200003960,Rua Anita Garibaldi
23,200006845,Praça Clóvis Beviláqua
24,200000423,Avenida Rangel Pestana
25,200019113,Avenida Rangel Pestana
26,200000432,
27,200000434,Parque Anhangabau
28,200009200,Parque Anhangabau
29,200000433,Parque Anhangabau
30,200001970,Praça da Bandeira
31,200001943,Rua São Francisco
32,200003956,Praça Ramos de Azevedo
33,200001974,Rua Conselheiro Crispiniano
34,200000435,Praça Ramos de Azevedo
35,200012915,Avenida São João
36,200009806,Avenida São João
37,200000436,Largo do Paissandú
38,200000441,Largo do Paissandú
39,200022587,Largo do Paissandú
40,200000437,Rua Capitão Salomão
41,200000447,Praça Pedro Lessa
42,200023061,Rua Brigadeiro Tobias
43,200018251,Avenida Ipiranga
44,200007313,Avenida Ipiranga
45,200000440,
46,200006193,Avenida Prestes Maia
47,200000446,Avenida Prestes Maia
48,200013705,Avenida Radial Leste-Oeste
49,200000481,Viaduto do Glicério
50,200000748,Viaduto do Glicério
51,200013090,Rua João Passalaqua
52,200013091,Rua João Passalaqua
53,200000515,Rua Professor Laerte Ramos de Carvalho
54,200017960,Viaduto Júlio de Mesquita Filho
55,200010173,Avenida Radial Leste-Oeste
56,200000518,
57,200013661,Elevado Presidente João Goulart
58,200000519,
59,200003940,Elevado Presidente João Goulart
60,200000521,Avenida Alcântara Machado
61,200003749,Avenida Alcântara Machado
62,200021288,Avenida do Estado
63,200018326,Avenida do Estado
64,200000583,Rua da Figueira
