start_id,start_name,des_id,des_name,success_time,average_step,completion
500152532,Butecho nearby,500261820,Landhies Road nearby,5,1.0,1.0
500151931,Sakwero Road nearby,500039421,Ladhies Road nearby,4,5.4,1.0
500191332,Argwings Kodhek Road nearby,500191303,Argwings Kodhek Road nearby,5,2.0,1.0
500100120,Dennis Pritt Road nearby,500099825,State House Road nearby,5,1.0,1.0
500244240,Riverside Drive nearby,500255720,Riverside Drive nearby,5,2.0,1.0
500151317,Sakwero Road nearby,500152172,Kamukunji Road nearby,5,1.0,1.0
500036605,Quarry Road nearby,500036020,Lamu Road nearby,1,12.4,0.8528827872742675
500244726,Argwings Kodhek Road nearby,500256277,Argwings Kodhek Road nearby,5,1.0,1.0
500153247,Kamukunji Road nearby,500152250,Landhies Road nearby,5,1.0,1.0
500151307,Sakwero Road nearby,500152748,Lamu Road nearby,5,1.0,1.0
500099293,Dennis Pritt Road nearby,500021601,Lenana Road nearby,5,1.0,1.0
500036956,Muratina Street nearby,500037344,Muratina Street nearby,5,1.0,1.0
500247211,Valley Road nearby,500006320,University of Nairobi School of Dental Sciences,5,2.0,1.0
500001538,Giwa House,500041293,River Road nearby,5,1.0,1.0
500001043,Racecourse Road nearby,500036937,Quarry Road nearby,5,1.0,1.0
500046348,Oloitokitok Road nearby,500242205,Oloitokitok Road nearby,5,1.0,1.0
500041299,Kumasi Road nearby,500001303,River Road nearby,5,1.0,1.0
500039431,Ladhies Road nearby,500001658,Ladhies Road nearby,5,1.0,1.0
500000946,Kirinyaga Road nearby,500001461,Kirinyaga Road nearby,5,1.0,1.0
500151264,Sakwero Road nearby,500151224,Kamukunji Road nearby,5,1.0,1.0
500190463,Kenyatta Avenue nearby,500005958,Delamare Flats,5,1.0,1.0
500000605,Ladhies Road nearby,500001584,River Road nearby,5,1.0,1.0
500246328,Ring Road Kileleshwa nearby,500246261,Oloitokitok Road nearby,5,2.0,1.0
500261759,Ladhies Road- nearby,500035728,Pumwani Road nearby,5,1.0,1.0
500038148,Ngara Road nearby,500039152,Ngara Road nearby,5,1.0,1.0
500188483,Milimani Road nearby,500099552,Lenana Road nearby,5,1.0,1.0
500002026,Ring Road nearby,500000670,Ladhies Road nearby,5,1.0,1.0
500151783,Sakwero Road nearby,500004320,City Stadium Roundabout nearby,5,2.0,1.0
500000350,Rehani House,500041220,Parliament Road nearby,5,1.0,1.0
500153361,Butecho nearby,500152682,Lamu Road nearby,5,1.0,1.0
500261840,Sakwero Road nearby,500152706,Butecho nearby,5,1.0,1.0
500262154,Muratina Street nearby,500036386,Chai Road nearby,5,1.0,1.0
500039329,Lusaka Road nearby,500152117,Kamukunji Road nearby,5,1.0,1.0
500041084,Harambee Avenue nearby,500099237,Haile Selassie Avenue nearby,5,1.0,1.0
500100160,Woodlands Road nearby,500191319,Argwings Kodhek Road nearby,5,2.0,1.0
500151828,Sakwero Road nearby,500153361,Butecho nearby,5,1.0,1.0
500152157,Bondo Street nearby,500153012,Kamukunji Road nearby,5,1.0,1.0
500039579,Commercial Street nearby,500040249,Lusaka Road nearby,5,1.0,1.0
500025842,Kipande Road nearby,500040799,Koinage Street nearby,5,5.4,1.0
500242173,Oloitokitok Road nearby,500242168,Oloitokitok Road nearby,5,1.0,1.0
500056599,Kipande Road nearby,500000332,Sibiloi Apartments,5,1.0,1.0
500152399,Kamukunji Road nearby,500153139,Sakwero Road nearby,5,1.0,1.0
500244243,Riverside Drive nearby,500255770,Riverside Drive nearby,5,2.0,1.0
500153078,Butecho nearby,500152935,Kamukunji Road nearby,5,1.0,1.0
500151824,Sakwero Road nearby,500035742,Pumwani Road nearby,5,2.4,1.0
500242102,Oloitokitok Road nearby,500242195,Oloitokitok Road nearby,5,1.0,1.0
500152735,Lamu Road nearby,500152870,Kamukunji Road nearby,5,1.0,1.0
500150700,Kamukunji Road nearby,500151240,Kamukunji Road nearby,5,1.0,1.0
500152187,Kamukunji Road nearby,500261760,Ladhies Road- nearby,5,2.0,1.0
500153078,Butecho nearby,500152249,Kamukunji Road nearby,5,1.0,1.0
500151305,Sakwero Road nearby,500153111,Butecho nearby,5,1.0,1.0
500152570,Lamu Road nearby,500151807,Sakwero Road nearby,5,1.0,1.0
