start_id,start_name,des_id,des_name,success_time,average_step,completion
500004058,2nd Avenue nearby,500063886,1st Avenue nearby,5,3.0,1.0
500190823,Borinquen Place nearby,500188207,Division Avenue nearby,5,1.0,1.0
500193111,Wythe Avenue nearby,500192283,Metropolitan Avenue nearby,5,2.0,1.0
500190465,Grand Street nearby,500191368,Grand Street nearby,5,2.0,1.0
500198936,Manhattan Avenue nearby,500199181,Manhattan Avenue nearby,5,1.0,1.0
500104362,Grand Street nearby,500346607,Oliver Street nearby,3,11.4,1.0
500192546,Metropolitan Avenue nearby,500196951,North 10th Street nearby,5,2.8,1.0
500004065,2nd Avenue nearby,500063768,Canal Street nearby,1,14.6,0.8088283841977185
500083492,Reade Street nearby,500339517,West Broadway nearby,5,3.0,1.0
500191708,Metropolitan Avenue nearby,500000665,Roebling Street nearby,1,13.8,0.8695017544710111
500074762,Walker Street nearby,500074272,7th Avenue South nearby,3,12.8,1.0
500005000,2nd Avenue nearby,500185767,East Houston Street nearby,5,6.4,1.0
500188349,Broadway nearby,500188746,Broadway nearby,5,1.0,1.0
500103602,Orchard Alley Garden,500063845,Avenue A nearby,4,4.6,1.0
500073781,Canal Street nearby,500104430,Church Street nearby,5,1.0,1.0
500184260,Reade Street nearby,500074729,Broadway nearby,5,1.0,1.0
500191376,Grand Street nearby,500195544,Meeker Avenue nearby,4,5.0,0.8
500194681,Metropolitan Avenue nearby,500337984,Metropolitan Avenue nearby,5,1.0,1.0
500045164,West Houston Street nearby,500347998,Holland Tunnel nearby,1,13.4,0.8
500083773,Church Street nearby,500037423,Broadway nearby,5,8.0,1.0
