start_id,start_name,des_id,des_name,success_time,average_step,completion
500002827,淮海中路 nearby,500048710,淮海中路 nearby,5,1.0,1.0
500047586,襄阳南路 nearby,500016337,复兴西路 nearby,2,11.4,0.8221433113905502
500003809,宁夏路 nearby,500007807,中山北路 nearby,5,3.6,1.0
500021792,乌鲁木齐中路 nearby,500048598,淮海中路 nearby,5,1.0,1.0
500008389,长宁路 nearby,500014463,万航渡路 nearby,5,1.0,1.0
500046794,北京东路 nearby,500023523,北京东路 nearby,5,2.0,1.0
500049818,衡山路 nearby,500021715,乌鲁木齐中路 nearby,5,1.0,1.0
500048059,长乐路 nearby,500056120,襄阳南路 nearby,3,9.6,0.8
500007679,福州路 nearby,500046612,福州路 nearby,5,1.0,1.0
500024554,志丹路 nearby,500024598,志丹路 nearby,5,2.0,1.0
500049393,愚园路 nearby,500034621,愚园路 nearby,5,1.0,1.0
500033181,西宝兴路 nearby,500049316,同鸣小区,2,10.2,0.8560438394256624
500047077,延安西路 nearby,500016203,复兴西路 nearby,2,12.2,0.8
500048329,淮海中路 nearby,500048361,襄阳北路 nearby,5,1.0,1.0
500056210,襄阳南路 nearby,500045648,淮海中路 nearby,4,11.4,1.0
500021529,复兴西路 nearby,500048580,常熟路 nearby,5,1.0,1.0
500028870,宁夏路 nearby,500035114,愚园路 nearby,2,12.2,1.0
500048158,静安城,500013100,新闸路 nearby,5,2.0,1.0
500049817,衡山路 nearby,500020113,陕西南路 nearby,4,8.6,1.0
500012177,瑞金二路 nearby,500048134,上海交通大学附属黄浦实验中学,1,12.4,0.8417979166501829
500023782,淮海中路 nearby,500020286,襄阳南路 nearby,1,13.4,0.906251883315072
500014443,万航渡路 nearby,500008110,凯旋路 nearby,2,9.8,0.8409951755768283
500030165,长宁路 nearby,500030082,江苏路 nearby,5,1.0,1.0
500012135,上海市社区青少年事务办公室,500018099,衡山路 nearby,4,5.4,0.8140135550365883
500024604,新村路 nearby,500024590,志丹路 nearby,2,9.8,0.8
500032251,武夷路 nearby,500032370,定西路 nearby,5,1.0,1.0
500011281,复兴西路 nearby,500049747,复兴中路 nearby,3,7.2,0.8624617150040195
500016162,复兴西路 nearby,500021559,复兴西路 nearby,5,2.0,1.0
500055592,襄阳南路 nearby,500018101,衡山路 nearby,1,14.4,1.0
500008388,长宁路 nearby,500007891,中山西路 nearby,5,3.0,1.0
500014407,遵义路 nearby,500008134,凯旋路 nearby,5,4.6,1.0
500038980,曹杨路 nearby,500007832,中山北路 nearby,5,3.0,1.0
500048961,富民路 nearby,500047846,陕西南路 nearby,1,12.6,0.8076488675561557
500007644,河南中路 nearby,500002605,申远大厦,3,9.0,1.0
500021787,乌鲁木齐中路 nearby,500016200,复兴西路 nearby,5,1.0,1.0
500037986,富民路 nearby,500048056,长乐路 nearby,5,1.0,1.0
500048298,长乐路 nearby,500020142,陕西南路 nearby,4,5.4,1.0
500010895,Bund 15,500007438,延安东路 nearby,5,1.0,1.0
500055990,建国西路 nearby,500047758,陕西南路 nearby,2,13.2,1.0
500007632,河南中路 nearby,500045546,人民路 nearby,5,4.0,1.0
500020180,建国西路 nearby,500020261,陕西南路 nearby,5,1.0,1.0
500010883,金陵东路 nearby,500045543,河南南路 nearby,5,4.4,1.0
500028550,兰溪路 nearby,500028979,兰溪路 nearby,5,1.0,1.0
500010964,北京东路 nearby,500000719,新亚大酒店,2,10.2,1.0
500034957,武夷路 nearby,500034640,愚园路 nearby,5,3.2,1.0
500049756,复兴中路 nearby,500024156,复兴中路 nearby,5,4.0,1.0
500020481,陕西南路 nearby,500047747,襄阳南路 nearby,2,12.6,0.8
500046537,福建中路 nearby,500045231,浙江南路 nearby,5,8.4,1.0
